iter	Passed	Remaining
407	5582	5363
408	5596	5350
409	5609	5336
410	5624	5322
411	5637	5309
412	5651	5295
413	5664	5281
414	5678	5267
415	5691	5253
416	5705	5240
417	5718	5226
418	5732	5212
419	5745	5198
420	5758	5184
421	5771	5169
422	5787	5158
423	5801	5144
424	5813	5129
425	5827	5116
426	5840	5101
427	5853	5087
428	5866	5073
429	5878	5058
430	5892	5044
431	5905	5030
432	5918	5016
433	5932	5002
434	5945	4988
435	5959	4974
436	5972	4961
437	5986	4948
438	6000	4934
439	6013	4920
440	6027	4906
441	6039	4892
442	6053	4878
443	6067	4864
444	6079	4850
445	6093	4836
446	6106	4822
447	6119	4807
448	6132	4793
449	6145	4779
450	6158	4765
451	6171	4751
452	6185	4737
453	6198	4723
454	6211	4709
455	6224	4695
456	6237	4681
457	6250	4667
458	6264	4653
459	6276	4639
460	6289	4625
461	6302	4611
462	6316	4597
463	6329	4583
464	6342	4569
465	6356	4556
466	6369	4541
467	6382	4527
468	6395	4513
469	6408	4499
470	6422	4486
471	6435	4472
472	6448	4458
473	6461	4444
474	6475	4430
475	6489	4417
476	6503	4403
477	6516	4389
478	6530	4376
479	6544	4362
480	6559	4349
481	6572	4336
482	6585	4322
483	6598	4308
484	6611	4294
485	6625	4280
486	6638	4266
487	6652	4253
488	6665	4239
489	6680	4226
490	6694	4212
491	6707	4198
492	6720	4185
493	6733	4171
494	6746	4156
495	6759	4142
496	6772	4128
497	6788	4116
498	6801	4102
499	6815	4089
500	6828	4075
501	6841	4061
502	6854	4047
503	6867	4033
504	6881	4019
505	6894	4005
506	6907	3992
507	6921	3978
508	6934	3964
509	6949	3951
510	6963	3938
511	6979	3925
512	6992	3912
513	7005	3898
514	7020	3885
515	7033	3871
516	7046	3857
517	7059	3843
518	7072	3829
519	7086	3815
520	7100	3802
521	7113	3788
522	7125	3773
523	7138	3760
524	7152	3746
525	7165	3732
526	7178	3718
527	7191	3704
528	7204	3690
529	7216	3676
530	7230	3662
531	7243	3649
532	7256	3635
533	7270	3621
534	7283	3607
535	7296	3593
536	7309	3580
537	7323	3566
538	7336	3552
539	7349	3538
540	7363	3525
541	7376	3511
542	7389	3497
543	7401	3483
544	7414	3469
545	7427	3455
546	7440	3441
547	7453	3427
548	7466	3413
549	7479	3399
550	7491	3385
551	7504	3371
552	7517	3357
553	7530	3343
554	7544	3330
555	7556	3316
556	7569	3302
557	7582	3288
558	7597	3275
559	7610	3261
560	7623	3247
561	7637	3234
562	7650	3220
563	7662	3206
564	7675	3192
565	7688	3178
566	7701	3164
567	7713	3150
568	7726	3136
569	7738	3122
570	7751	3108
571	7764	3094
572	7780	3082
573	7793	3068
574	7806	3054
575	7820	3041
576	7834	3027
577	7847	3014
578	7861	3000
579	7874	2986
580	7887	2973
581	7900	2959
582	7914	2945
583	7927	2932
584	7940	2918
585	7954	2904
586	7967	2891
587	7980	2877
588	7993	2863
589	8006	2849
590	8019	2836
591	8033	2822
592	8046	2808
593	8060	2795
594	8073	2781
595	8087	2768
596	8100	2754
597	8113	2740
598	8126	2726
599	8138	2712
600	8151	2699
601	8165	2685
602	8178	2672
603	8192	2658
604	8205	2644
605	8218	2630
606	8232	2617
607	8245	2603
608	8258	2590
609	8271	2576
610	8284	2562
611	8298	2549
612	8311	2535
613	8324	2521
614	8338	2508
615	8351	2494
616	8364	2480
617	8378	2467
618	8391	2453
619	8406	2440
620	8419	2426
621	8433	2413
622	8446	2399
623	8459	2386
624	8472	2372
625	8485	2358
626	8498	2344
627	8512	2331
628	8526	2317
629	8539	2304
630	8553	2290
631	8567	2277
632	8581	2263
633	8594	2250
634	8607	2236
635	8621	2223
636	8634	2209
637	8655	2197
638	8668	2184
639	8681	2170
640	8694	2156
641	8707	2142
642	8723	2130
643	8736	2116
644	8750	2102
645	8762	2088
646	8775	2075
647	8788	2061
648	8800	2047
649	8813	2033
650	8827	2020
651	8841	2006
652	8854	1993
653	8867	1979
654	8881	1966
655	8894	1952
656	8907	1938
657	8920	1925
658	8933	1911
659	8946	1897
660	8959	1883
661	8972	1870
662	8985	1856
663	8998	1843
664	9011	1829
665	9024	1815
666	9036	1801
667	9050	1788
668	9063	1774
669	9077	1761
670	9091	1747
671	9105	1734
672	9118	1720
673	9131	1707
674	9144	1693
675	9157	1679
676	9171	1666
677	9185	1652
678	9198	1639
679	9211	1625
680	9224	1611
681	9237	1598
682	9251	1584
683	9264	1571
684	9277	1557
685	9290	1543
686	9303	1530
687	9315	1516
688	9328	1502
689	9342	1489
690	9354	1475
691	9368	1462
692	9381	1448
693	9394	1434
694	9408	1421
695	9422	1407
696	9436	1394
697	9449	1380
698	9462	1367
699	9475	1353
700	9488	1340
701	9502	1326
702	9515	1312
703	9529	1299
704	9542	1285
705	9556	1272
706	9569	1258
707	9583	1245
708	9597	1231
709	9611	1218
710	9625	1204
711	9639	1191
712	9652	1177
713	9666	1164
714	9679	1150
715	9692	1137
716	9708	1123
717	9721	1110
718	9734	1096
719	9749	1083
720	9761	1069
721	9774	1055
722	9787	1042
723	9801	1028
724	9814	1015
725	9826	1001
726	9840	988
727	9853	974
728	9866	960
729	9879	947
730	9893	933
731	9906	920
732	9920	906
733	9933	893
734	9946	879
735	9959	866
736	9972	852
737	9985	838
738	9999	825
739	10012	811
740	10026	798
