iter	Logloss
0	0.6620602027
1	0.6346376433
2	0.6081130297
3	0.5843461488
4	0.5632044731
5	0.5407099958
6	0.5216555008
7	0.5040237138
8	0.4865765684
9	0.4713552454
10	0.4569079564
11	0.4438493234
12	0.4318863569
13	0.4209306219
14	0.4097399767
15	0.399336485
16	0.3902185417
17	0.3814102188
18	0.3730420134
19	0.3651084638
20	0.3585337631
21	0.3520107615
22	0.3464508884
23	0.3409132026
24	0.3353239472
25	0.3310433226
26	0.3268589487
27	0.3228555045
28	0.3193512854
29	0.3158682969
30	0.3124908413
31	0.309235491
32	0.3060589523
33	0.3033651257
34	0.3007411072
35	0.2980631508
36	0.2958135042
37	0.2937836401
38	0.291940168
39	0.2898307762
40	0.287835524
41	0.2858045157
42	0.2839975183
43	0.2824173955
44	0.2809594519
45	0.2793264074
46	0.2778510668
47	0.2766903248
48	0.2755620094
49	0.2744514418
50	0.2731804926
51	0.2720009823
52	0.2709338963
53	0.2698137608
54	0.2690183324
55	0.2682151254
56	0.2672127009
57	0.2664417807
58	0.2657023019
59	0.2650329717
60	0.2644494127
61	0.2638685971
62	0.2629163069
63	0.2622020232
64	0.2616606091
65	0.2611216016
66	0.2605215952
67	0.2599249603
68	0.2595237789
69	0.2589154318
70	0.2583904884
71	0.2578607247
72	0.2574521867
73	0.2570732591
74	0.2566571889
75	0.2561387921
76	0.2557198285
77	0.255167785
78	0.2546604272
79	0.2542266822
80	0.2538313805
81	0.2533577955
82	0.2529899718
83	0.2526229769
84	0.2523258662
85	0.2518732264
86	0.2514562389
87	0.2511793295
88	0.250747099
89	0.2503646734
90	0.24993198
91	0.24957601
92	0.2492487307
93	0.2489882477
94	0.2486320948
95	0.2483915341
96	0.2480786555
97	0.2477824776
98	0.2475594139
99	0.2473614496
100	0.2471428155
101	0.2468331954
102	0.2465329512
103	0.2462322109
104	0.2459840121
105	0.2456275952
106	0.24531201
107	0.2449401314
108	0.244631031
109	0.2443342406
110	0.2440276103
111	0.243774987
112	0.243562994
