iter	Logloss
0	0.681665979
1	0.6709465075
2	0.6616105384
3	0.6526649772
4	0.6442852691
5	0.6367861356
6	0.6290576454
7	0.6219484584
8	0.6154167718
9	0.6091133374
10	0.6027106854
11	0.5969710156
12	0.5915758231
13	0.5863201348
14	0.5809460669
15	0.5766255469
16	0.5729410551
17	0.5686115142
18	0.5645261567
19	0.5610891558
20	0.5573919486
21	0.5538052483
22	0.5511439516
23	0.5480646771
24	0.5447799774
25	0.5419658962
26	0.5391665918
27	0.5362581207
28	0.5335886303
29	0.5313635728
30	0.5287555153
31	0.5263459949
32	0.5245940592
33	0.5224781982
34	0.5199343096
35	0.5180902199
36	0.516320232
37	0.514426837
38	0.5127736485
39	0.5115451284
40	0.509839849
41	0.508499632
42	0.5071212182
43	0.5059229836
44	0.5042386804
45	0.5030118112
46	0.5019575652
47	0.5006707799
48	0.4993294004
49	0.4982754224
50	0.4967921999
51	0.4954073474
52	0.4944478428
53	0.4935139373
54	0.4923944013
55	0.4912086628
56	0.4901660869
57	0.4894946602
58	0.4886367701
59	0.4878105253
60	0.4870213925
61	0.4862547481
62	0.4853304854
63	0.4844875679
64	0.4836932567
65	0.4831119561
66	0.4819916252
67	0.481412551
68	0.4805980743
69	0.4797482338
70	0.4791098118
71	0.47825414
72	0.4777167489
73	0.4771957431
74	0.4765865458
75	0.4757754406
76	0.4750090238
77	0.474033806
78	0.4733927709
79	0.4726339278
80	0.4719944674
81	0.4712221322
82	0.4707721474
83	0.4702685965
84	0.4694401732
85	0.4689743903
86	0.4685194081
87	0.4679542365
88	0.4671715361
89	0.4665735483
90	0.4662698981
91	0.4656725112
92	0.4649835926
93	0.4643289436
94	0.463910552
95	0.4634177824
96	0.4627156655
97	0.4623090037
98	0.4618775936
99	0.4613960622
100	0.4605883444
101	0.4600494176
102	0.4595419548
103	0.4589665673
104	0.4583919894
105	0.4579653301
106	0.4576153381
107	0.4571549284
108	0.4565672388
109	0.4559605994
110	0.4551460964
111	0.4545134404
112	0.4540372997
113	0.4536985824
114	0.4530373733
115	0.4524249872
116	0.4521288309
117	0.45178376
118	0.4512381285
119	0.4506217644
120	0.4502692841
121	0.4498275017
122	0.4493978047
123	0.4488451076
124	0.448430247
125	0.4479031566
126	0.4475613546
127	0.4472632362
128	0.4469470323
129	0.4465227185
130	0.4460963043
131	0.4457226211
132	0.445416342
133	0.4450990096
134	0.4447683751
135	0.4441401548
136	0.4438995248
137	0.4432967898
138	0.442826637
139	0.442447866
140	0.4419646992
141	0.4416100125
142	0.4410621154
143	0.4407261718
144	0.4402271931
145	0.4398789888
146	0.4394630258
147	0.4391056764
148	0.4387087739
149	0.4383513618
150	0.4379182038
151	0.4375892559
152	0.4371656454
153	0.4367195719
154	0.4361992781
155	0.4358601062
156	0.4355392813
157	0.4353525027
158	0.4351348068
159	0.4347219225
160	0.434367889
161	0.4341318393
162	0.433743399
163	0.4334179964
164	0.4331148968
165	0.4327083186
166	0.4323594885
167	0.4320256557
168	0.4318102562
169	0.4313956101
170	0.4312367985
171	0.4307300926
172	0.4305263401
173	0.4300866375
174	0.4297159101
175	0.4294133033
176	0.4289405688
177	0.4285695839
178	0.4281375147
179	0.4278365522
180	0.4272870419
181	0.4269279907
182	0.4265730206
183	0.4261572341
184	0.4261295254
185	0.4258052895
186	0.4254872788
187	0.4250371076
188	0.4248935693
189	0.424526922
190	0.4242161284
191	0.4238921806
192	0.4236754581
193	0.4234750472
194	0.4231407567
195	0.422884514
196	0.4224554278
197	0.4219777331
198	0.4216061228
199	0.4211171302
200	0.4206783769
201	0.4204048649
202	0.4199611904
203	0.4197442658
204	0.4193983199
205	0.4191805597
206	0.4187304759
207	0.4185002111
208	0.4181224276
209	0.4177903955
210	0.4174457585
211	0.4172581216
212	0.4169107498
213	0.4165662163
214	0.4161210946
215	0.415719796
216	0.4152789512
217	0.4146770578
218	0.4143031112
219	0.4139088877
220	0.4136546211
221	0.4133473951
222	0.4129641514
223	0.4125941009
224	0.4122068512
225	0.4118353041
226	0.4115696913
227	0.411148344
228	0.410676197
229	0.4105237648
230	0.4103065572
231	0.4098632037
232	0.4095988941
233	0.4094348976
234	0.4092033633
235	0.4091137042
236	0.40873213
237	0.4084926067
238	0.408006248
239	0.4076584262
240	0.4072668241
241	0.4070047337
242	0.4067486839
243	0.4065085081
244	0.4063067176
245	0.4059076275
246	0.4055748798
247	0.4054304563
248	0.4050243859
249	0.4047713671
250	0.4045079997
251	0.4041051527
252	0.403732646
253	0.4035547372
254	0.4032665191
255	0.4027632033
256	0.4024822398
257	0.4020818161
258	0.4017924675
259	0.4013709007
260	0.4011318612
261	0.4009084653
262	0.4006301995
263	0.4002880233
264	0.4000102241
265	0.3995352063
266	0.3991785527
267	0.3989115292
268	0.3985994528
269	0.3983539525
270	0.3981940122
271	0.397916666
272	0.3974362092
273	0.3971314329
274	0.3967965964
275	0.3962660177
276	0.3957928807
277	0.3957107466
278	0.3953917221
279	0.3950444743
280	0.3948914186
281	0.3944721435
282	0.394220704
283	0.3939192918
284	0.3936717711
285	0.3933360696
286	0.3929764707
287	0.392667729
288	0.3922249983
289	0.3919536921
290	0.3915896906
291	0.3911544605
292	0.3908410551
293	0.3905960255
294	0.3901935565
295	0.3898521969
296	0.3893487427
297	0.389156474
298	0.3888289138
299	0.3884260506
300	0.3879918851
301	0.387737605
302	0.3873664433
303	0.387081734
304	0.3867986837
305	0.3864604933
306	0.3861397852
307	0.385862345
308	0.3854011471
309	0.3851562622
310	0.3849269439
311	0.3846049111
312	0.384290998
313	0.3839156596
314	0.3837523825
315	0.3833421075
316	0.3831380252
317	0.3827727515
318	0.3823946166
319	0.3821363629
320	0.3818230772
321	0.3816180691
322	0.3813033397
323	0.3809727005
324	0.3805901892
325	0.3803617021
326	0.3801614013
327	0.3798658959
328	0.3794979166
329	0.3791609835
330	0.3786583352
331	0.3781855827
332	0.3778788545
333	0.3776239618
334	0.3773635197
335	0.3770996529
336	0.3767969828
337	0.3764868809
338	0.3762705997
339	0.3759014753
340	0.3755342771
341	0.3751466055
342	0.3747959483
343	0.3744775397
344	0.3741211303
345	0.3737516105
