iter	Passed	Remaining
413	3548	3308
414	3557	3300
415	3566	3291
416	3574	3283
417	3583	3274
418	3591	3266
419	3600	3257
420	3608	3248
421	3617	3240
422	3626	3232
423	3636	3224
424	3645	3216
425	3656	3210
426	3665	3202
427	3679	3197
428	3688	3190
429	3698	3182
430	3708	3174
431	3718	3167
432	3727	3159
433	3737	3152
434	3746	3143
435	3756	3136
436	3766	3128
437	3779	3123
438	3789	3116
439	3799	3108
440	3809	3100
441	3818	3092
442	3828	3084
443	3837	3077
444	3847	3069
445	3856	3061
446	3866	3053
447	3875	3045
448	3885	3037
449	3894	3029
450	3904	3021
451	3913	3013
452	3923	3005
453	3933	2997
454	3943	2989
455	3953	2982
456	3962	2974
457	3972	2966
458	3981	2958
459	3991	2950
460	4001	2942
461	4010	2933
462	4020	2926
463	4029	2917
464	4039	2909
465	4049	2902
466	4059	2894
467	4069	2886
468	4079	2879
469	4089	2871
470	4098	2862
471	4107	2854
472	4117	2846
473	4126	2838
474	4135	2829
475	4144	2821
476	4154	2812
477	4163	2804
478	4172	2796
479	4182	2788
480	4192	2780
481	4202	2772
482	4213	2765
483	4222	2757
484	4232	2748
485	4241	2740
486	4250	2732
487	4260	2724
488	4269	2715
489	4278	2706
490	4287	2698
491	4296	2689
492	4305	2680
493	4313	2672
494	4322	2663
495	4332	2655
496	4341	2646
497	4349	2637
498	4358	2628
499	4366	2619
500	4375	2611
501	4383	2602
502	4392	2593
503	4401	2584
504	4410	2576
505	4418	2567
506	4427	2558
507	4436	2549
508	4444	2540
509	4455	2533
510	4467	2526
511	4478	2519
512	4487	2510
513	4496	2502
514	4505	2493
515	4513	2484
516	4522	2475
517	4531	2466
518	4539	2457
519	4547	2448
520	4556	2439
521	4564	2430
522	4572	2421
523	4581	2412
524	4589	2404
525	4598	2395
526	4607	2386
527	4615	2377
528	4624	2368
529	4632	2359
530	4641	2351
531	4649	2342
532	4657	2333
533	4668	2325
534	4678	2317
535	4695	2312
536	4715	2309
537	4731	2304
538	4743	2297
539	4756	2289
540	4767	2282
541	4778	2274
542	4789	2267
543	4800	2259
544	4812	2251
545	4823	2244
546	4833	2235
547	4843	2227
548	4853	2218
549	4862	2210
550	4872	2201
551	4881	2193
552	4890	2184
553	4900	2175
554	4909	2167
555	4918	2158
556	4928	2149
557	4937	2141
558	4947	2132
559	4957	2124
560	4966	2116
561	4976	2107
562	4985	2098
563	4994	2089
564	5003	2081
565	5012	2072
566	5020	2063
567	5029	2054
568	5038	2045
569	5047	2036
570	5055	2027
571	5063	2018
572	5072	2009
573	5080	2000
574	5089	1991
575	5098	1982
576	5106	1973
577	5115	1964
578	5123	1955
579	5131	1946
580	5139	1937
581	5147	1928
582	5155	1918
583	5162	1909
584	5171	1900
585	5182	1892
586	5190	1883
587	5198	1874
588	5205	1864
589	5213	1855
590	5220	1846
591	5228	1836
592	5235	1827
593	5242	1818
594	5250	1808
595	5257	1799
596	5265	1790
597	5273	1781
598	5281	1772
599	5288	1762
600	5297	1753
601	5305	1744
602	5313	1735
603	5321	1726
604	5329	1717
605	5337	1708
606	5346	1699
607	5354	1690
608	5362	1681
609	5370	1672
610	5378	1663
611	5386	1654
612	5397	1646
613	5414	1640
614	5433	1634
615	5463	1631
616	5481	1625
617	5496	1618
618	5508	1610
619	5520	1602
620	5533	1595
621	5544	1586
622	5555	1578
623	5567	1570
624	5576	1561
625	5587	1553
626	5598	1544
627	5607	1535
628	5617	1527
629	5628	1518
630	5638	1510
