name,n,acc,macro_f1,f1_0,f1_1
ALL val rows,2160,0.9194444444444444,0.7389970999677775,0.521978021978022,0.9560161779575329
A_cold,1455,0.9374570446735395,0.6076528510766915,0.24793388429752067,0.9673718178558623
B_has_pos,131,0.6335877862595419,0.44017094017094016,0.7692307692307693,0.1111111111111111
B_no_pos,86,0.9651162790697675,0.4911242603550296,0.0,0.9822485207100592
C_exact,488,0.9344262295081968,0.4830508474576271,0.0,0.9661016949152542
