rep,threshold,acc,macro_f1,f1_0,f1_1,has_pos_share
0,0.4000000000000001,0.9875930521091811,0.9874568147156775,0.9861495844875346,0.9887640449438202,0.6153846153846154
0,0.07500000000000001,0.972636815920398,0.9722575990463942,0.9690140845070423,0.9755011135857461,0.6194029850746269
0,0.47500000000000014,0.9825870646766169,0.9825688357543284,0.9820051413881749,0.983132530120482,0.6517412935323383
0,0.05,0.9651741293532339,0.9651732673267326,0.9653465346534653,0.965,0.6592039800995025
0,0.10000000000000002,0.972636815920398,0.9724030330452149,0.9698630136986301,0.9749430523917996,0.6318407960199005
1,0.5750000000000002,0.9727047146401985,0.9725315239954146,0.9703504043126685,0.9747126436781609,0.607940446650124
1,0.8250000000000003,0.9577114427860697,0.9577111811043112,0.9576059850374065,0.9578163771712159,0.6069651741293532
1,0.10000000000000002,0.9751243781094527,0.9750031090660365,0.9732620320855615,0.9767441860465116,0.6567164179104478
1,0.5250000000000001,0.9850746268656716,0.9850509457817884,0.9844559585492227,0.9856459330143541,0.6592039800995025
1,0.6250000000000002,0.9875621890547264,0.9874043577162409,0.9859943977591037,0.9888143176733781,0.6467661691542289
2,0.2750000000000001,0.9727047146401985,0.9726616220483124,0.9715762273901809,0.9737470167064439,0.674937965260546
2,0.6500000000000002,0.9751243781094527,0.9748498498498499,0.9722222222222222,0.9774774774774775,0.6293532338308457
2,0.5250000000000001,0.972636815920398,0.972114844966862,0.968299711815562,0.975929978118162,0.5696517412935324
2,0.7500000000000002,0.9850746268656716,0.9850446428571429,0.9857142857142858,0.984375,0.6741293532338308
2,0.3750000000000001,0.9875621890547264,0.9874877834701792,0.9865229110512129,0.9884526558891455,0.6293532338308457
3,0.10000000000000002,0.9875930521091811,0.987481750691144,0.9863013698630136,0.9886621315192744,0.6178660049627791
3,0.9250000000000004,0.9701492537313433,0.9700037308792439,0.9679144385026738,0.9720930232558139,0.6119402985074627
3,0.3000000000000001,0.9626865671641791,0.9625640229706658,0.9604221635883905,0.9647058823529412,0.654228855721393
3,0.3500000000000001,0.9850746268656716,0.9848936543327405,0.9832402234636871,0.9865470852017937,0.6318407960199005
3,0.7500000000000002,0.9825870646766169,0.982578332497539,0.9829683698296837,0.9821882951653944,0.6616915422885572
4,0.7250000000000003,0.9826302729528535,0.9825200607243548,0.9811320754716981,0.9839080459770115,0.6550868486352357
4,0.6000000000000002,0.9751243781094527,0.9751089756290866,0.9757281553398058,0.9744897959183674,0.6293532338308457
4,0.25000000000000006,0.9850746268656716,0.9848401045856798,0.9829545454545454,0.9867256637168141,0.6343283582089553
4,0.8500000000000003,0.9776119402985075,0.9775104895104896,0.976,0.9790209790209791,0.6318407960199005
4,0.07500000000000001,0.9850746268656716,0.9849910394265233,0.9838709677419355,0.9861111111111112,0.6268656716417911
