scheme,mean_macro,std_macro,mean_f1_0,std_f1_0,mean_f1_1,mean_thr,std_thr
max_char,0.5754855948346074,0.051962671637819174,0.22529955143784772,0.10246289039708385,0.9256716382313671,0.1497751201045987,0.021214826485282827
combo_avg,0.5502915432172771,0.05122366213002466,0.17570347831997585,0.10920859591242964,0.9248796081145785,0.4171850894209341,0.03474750898525422
max_word,0.546229601374526,0.04606657964212943,0.18550296519045792,0.10609304273601008,0.9069562375585943,0.16066667630666673,0.08428347736151005
top2_word,0.5438412100153421,0.04263148111696494,0.16713338867168093,0.09339994834868176,0.9205490313590032,0.10866667318666672,0.06492873975852025
proto_sim,0.5414279048184479,0.04313449375312418,0.1698587393911116,0.0982944429170898,0.9129970702457844,0.13533334131800004,0.0777757982142571
top3_word,0.5368131019415838,0.04312261132843596,0.15316007717144414,0.09667839425586894,0.9204661267117236,0.10666667306666672,0.06526300460728413
max_bm25,0.4881004870917224,0.00414139604446979,0.0,0.0,0.9762009741834448,0.0,0.0
rrf_max,0.4881004870917224,0.00414139604446979,0.0,0.0,0.9762009741834448,0.04865150713907986,7.081978934950617e-18
