id,max_cos
te00000,0.3741680584395174
te00001,0.5265030148343273
te00003,0.4167789969592208
te00004,0.31024809968924993
te00005,0.323716673730071
te00006,0.2825886151658259
te00007,0.3399504406331542
te00009,0.47367928140553406
te00010,0.6707556868071411
te00011,0.3115050313246976
te00012,0.4144444121966606
te00014,0.43662658364282214
te00016,0.35564563205830685
te00017,0.2361507475852437
te00020,0.2543869700203374
te00022,0.6258530282955533
te00023,0.414125855651356
te00024,0.353257110881289
te00026,0.507904636829513
te00029,0.22890984326211236
te00030,0.37111533167259875
te00031,0.3651214392574411
te00032,0.35527984435888593
te00036,0.37341435053303057
te00038,0.4810938492049477
te00039,0.489982568382072
te00040,0.22921237951310477
te00043,0.6884141230230983
te00044,0.2730157443571135
te00045,0.21765842198235216
te00047,0.3133665416494182
te00049,0.3864085220533004
te00050,0.4766995646755777
te00051,0.3998481301676982
te00052,0.24631573603013948
te00053,0.8550941814004225
te00056,0.3647397707857847
te00057,0.31016382310708523
te00058,0.44028979032249843
te00059,0.3852156828978313
te00061,0.2522058070505048
te00062,0.2900990964921247
te00063,0.723599706449798
te00065,0.6852776137103781
te00066,0.39922861271369603
te00067,0.44602179555369953
te00069,0.4874887967690245
te00070,0.2962836685374735
te00071,0.4276665140210981
te00073,0.47961923601126094
te00074,0.27061332029776475
te00076,0.5757964634608264
te00077,0.23642863249996723
te00084,0.3807414628124961
te00085,0.47204298168818465
te00086,0.27999117688435643
te00087,0.2495685374633784
te00088,0.45330912938080986
te00089,0.2790952504917951
te00092,0.6002938953313474
te00093,0.34321902632151446
te00098,0.6297042018826852
te00100,0.8469343039744212
te00101,0.7166031104454894
te00102,0.28358402909335023
te00103,0.33293886263079464
te00104,0.3647397707857847
te00106,0.5329024083679442
te00111,0.6487126137248121
te00112,0.31331360958400506
te00113,0.32098676040274354
te00114,0.19001250503467643
te00115,0.25032798850155225
te00116,0.373855752497512
te00117,0.21752058434165109
te00119,0.33868395597200834
te00120,0.3703773143957344
te00123,0.32077027348526055
te00127,0.3259907008670315
te00128,0.394308007560866
te00129,0.1606704503222825
te00131,0.3534863920427919
te00133,0.2777489781811527
te00135,0.632764838816236
te00136,0.504367663205507
te00137,0.6727450611663874
te00138,0.5126078724212503
te00141,0.260636468744303
te00142,0.39488309808050676
te00145,0.4781920457502338
te00147,0.34574694994575844
te00148,0.535922259557073
te00149,0.4098574841168818
te00151,0.26172950007264706
te00154,0.5359617190094088
te00156,0.7451879482659729
te00157,0.6015437398334441
te00158,0.49380094477408193
te00159,0.889019889144778
te00160,0.6637933441935396
te00163,0.27903761026871
te00164,0.30471827691487774
te00166,0.4610548367646365
te00168,0.27258153316415745
te00169,0.20377581555555796
te00170,0.7288783163446255
te00171,0.3115701388084665
te00172,0.5312282091797313
te00173,0.2370744270174814
te00174,0.37435593971099074
te00178,0.9108936728104912
te00179,0.5045947837757201
te00180,0.45455224756310075
te00181,0.25247472163209017
te00182,0.7544455343998699
te00183,0.35426180482373987
te00185,0.5396707883155911
te00186,0.7568599869788538
te00187,0.634403800578179
te00189,0.42254154251392684
te00190,0.3718534551111991
te00191,0.3739389713034525
te00193,0.38952529951637144
te00194,0.25428524235511973
te00195,0.37575900726803846
te00196,0.4301360237809942
te00197,0.29170245891980306
te00199,0.4755552418374828
te00200,0.42913485173667865
te00202,0.7008596812306006
te00203,0.4153626983753695
te00204,0.28353156149973135
te00205,0.4854437488787847
te00207,0.5733433902283204
te00208,0.4856243559709659
te00209,0.3339514626365509
te00210,0.26518286078118813
te00211,0.23859219380589225
te00212,0.5827523430423747
te00214,0.5862926859718799
te00216,0.6001156433537116
te00218,0.5963590755075128
te00220,0.3198674610408565
te00221,0.3346772615205291
te00222,0.3208622626693629
te00223,0.6896646136941602
te00226,0.22381083837191215
te00227,0.49273119463786386
te00228,0.9757707816473433
te00229,0.2790155082826556
te00230,0.5521909386355032
te00231,0.29248528695646414
te00232,0.30921898314212287
te00236,0.30220395775444087
te00237,0.2069446544636558
te00241,0.5177299086369418
te00243,0.5633145905216649
te00244,0.30831386846722175
te00245,0.25007282175438716
te00247,0.32512331893930624
te00249,0.43751238790577074
te00253,0.2745303673616389
te00254,0.3267307703434344
te00255,0.3147381588305573
te00257,0.6384604773188667
te00261,0.6380011062704266
te00262,0.2997848769945622
te00263,0.27683408089064016
te00264,0.7970235061158629
te00265,0.2808450768358119
te00266,0.5161710756655508
te00267,0.2901789340349397
te00268,0.554178142286068
te00269,0.43711391351807793
te00271,0.3537860023393543
te00272,0.6111548073454603
te00273,0.2595244745698842
te00274,0.3204916234169799
te00275,0.25678160635402747
te00276,0.2799698659700586
te00277,0.47049741121768035
te00278,0.35456121330189916
te00279,0.16857833789593082
te00280,0.5769213988708195
te00281,0.42242937041672257
te00283,0.4623447650981702
te00284,0.3655413747609497
te00285,0.3929438744773668
te00287,0.47305531002130896
te00288,0.4918931738441328
te00289,0.3449681653245559
te00290,0.39584594901130027
te00291,0.3085445504714377
te00293,0.45431212843717006
te00295,0.6259196899866633
te00296,0.6088419090296946
te00299,0.25814697213555654
te00301,0.49273119463786386
te00302,0.5129245384135452
te00303,0.5076382840660666
te00305,0.3926273844344489
te00310,0.368410974372375
te00311,0.4807719580575636
te00312,0.2698873180464931
te00313,0.2803799568523388
te00315,0.2520266715172441
te00319,0.31585774269624706
te00320,0.2988675266935811
te00321,0.3054713404323943
te00324,0.2883383565752055
te00326,0.7640994415325312
te00327,0.47650963145825587
te00328,0.6722629254766846
te00330,0.3473806161804376
te00332,0.2668843834194785
te00335,0.24321575154370806
te00337,0.49762684873210217
te00338,0.36690956184442336
te00339,0.5117828435873435
te00340,0.578771866516856
te00341,0.43623813461105965
te00344,0.38216915817119895
te00345,0.35452177870215007
te00346,0.927965268085038
te00347,0.7835433695073497
te00349,0.4874026321303745
te00350,0.3875013663931431
te00352,0.443499132561639
te00355,0.7166031104454894
te00356,0.30891353974487995
te00357,0.40933051877630844
te00361,0.37238548005127275
te00364,0.5946149218642329
te00365,0.456659405091688
te00368,0.45167430385027496
te00370,0.4279890702306798
te00375,0.5058246249566325
te00376,0.48414507507515164
te00379,0.8050160262882491
te00380,0.5875611438754276
te00381,0.22010769959699744
te00383,0.6310200796915288
te00384,0.17679066805789742
te00386,0.5521241876575665
te00387,0.7343521972772092
te00389,0.4623447650981702
te00390,0.32032924883142394
te00391,0.3187848460301575
te00394,0.3535222937520468
te00395,0.44486026354061164
te00396,0.6961466360192294
te00397,0.6174763285132393
te00398,0.24539153277082945
te00399,0.5334041094571229
te00400,0.3962931773408691
te00401,0.44794068724487285
te00402,0.3947778397667408
te00403,0.47663929933573695
te00404,0.3743376523629684
te00405,0.3059145876224602
te00407,0.3107412180668973
te00408,0.44657975056183186
te00410,0.5444647874414585
te00411,0.7010186493484826
te00412,0.8695728670024027
te00413,0.3265446114518774
te00415,0.3558291416324304
te00416,0.6108111834083315
te00417,0.3784269435524904
te00418,0.2761807207508959
te00419,0.3715637536174775
te00420,0.47192948909055465
te00423,0.37012600543794716
te00425,0.4165111788362254
te00426,0.1639379837409368
te00427,0.3422163545622458
te00428,0.4342904743245448
te00429,0.663485808227116
te00430,0.22999029339819196
te00431,0.2925580340173095
te00432,0.4922710076967747
te00435,0.29292123272371123
te00437,0.3935398431023653
te00438,0.36835123038640755
te00439,0.6266159905531703
te00440,0.4282319431124963
te00441,0.4385345483073087
te00444,0.3368716687020261
te00445,0.3199730070369091
te00446,0.3592333938212477
te00447,0.3827693732163601
te00449,0.6030701243925327
te00450,0.24659411844028487
te00451,0.25057484052887014
te00452,0.2678170758732817
te00453,0.5192601144920701
te00454,0.6652081708961791
te00456,0.5323385198143962
te00457,0.7970235061158629
te00458,0.35796358212799456
te00459,0.3507176781332777
te00460,0.29668182872674415
te00461,0.7566070390679075
te00462,0.39426328426835605
te00463,0.379481606251276
te00464,0.3450739705620581
te00465,0.4781859476016688
te00466,0.3776094305404926
te00467,0.5522767013332829
te00469,0.3545030646903231
te00470,0.39064471563501424
te00474,0.5758594655469034
te00477,0.4521526827177231
te00478,0.30921715562210866
te00479,0.45436601328182347
te00480,0.42577117573675577
te00481,0.3590449484666475
te00484,0.20475286684804284
te00485,0.338024424567723
te00488,0.4448827531354617
te00489,0.35574363546182936
te00492,0.5983949163343115
te00493,0.3111544954019628
te00494,0.23723641264375803
te00496,0.3628852752414566
te00497,0.41805711088035147
te00498,0.3855271810999017
te00500,0.8663433484999068
te00501,0.6652175887878559
te00503,0.27175194122409263
te00505,0.6771250465549121
te00506,0.6361431128044619
te00507,0.5762168635076081
te00508,0.33084008955196853
te00509,0.9868790804756234
te00513,0.3073271999139014
te00515,0.3991422077988845
te00517,0.3405346143317812
te00519,0.29085737235700815
te00520,0.23097165978933676
te00522,0.4859180609133192
te00526,0.2962836685374735
te00527,0.6948827050193546
te00528,0.2817338297675646
te00529,0.1945039792468703
te00531,0.46548986535614245
te00532,0.25598329111357976
te00533,0.430676519021665
te00537,0.23808507036975818
te00538,0.30273102639815763
te00539,0.34927413445241134
te00540,0.37418653647970596
te00544,0.26686972980116497
te00545,0.4249433842005511
te00547,0.24828509572873406
te00548,0.30733535821423097
te00549,0.4516362507090483
te00550,0.3979185493010059
te00551,0.6359016318609213
te00552,0.4983302928765004
te00553,0.2405008790171839
te00554,0.27397443992412335
te00556,0.30819843343140146
te00557,0.38313220565874934
te00558,0.37012600543794716
te00559,0.2859342468805132
te00563,0.32786897700996037
te00564,0.6836602058955945
te00565,0.46518988965434316
te00566,0.6430961013598891
te00567,0.3324440449385517
te00568,0.3070682258563484
te00570,0.4062578016996987
te00573,0.6280928397496189
te00574,0.36612509449668895
te00576,0.33675766588049305
te00577,0.36739469484117376
te00579,0.31347110091458724
te00582,0.34146152142289626
te00583,0.310668906609102
te00584,0.4420013115623363
te00585,0.5424847135237044
te00586,0.31144237579440553
te00587,0.5521424054076669
te00589,0.4813388052507537
te00590,0.49057188881750974
te00591,0.36877149198492254
te00592,0.751010724452141
te00593,0.6264750438988054
te00594,0.35012088540420233
te00595,0.2581198737986875
te00596,0.48250647079028625
te00597,0.3847538685851946
te00598,0.24709385136770917
te00602,0.5523369953289312
te00603,0.5593765254315648
te00604,0.21922660445849573
te00605,0.3103402252977315
te00606,0.37331224836302784
te00607,0.3860336126094076
te00608,0.26055905260784695
te00609,0.5125255488196937
te00610,0.30472471637891957
te00611,0.32672438525318875
te00615,0.333604537469455
te00618,0.5369926765934702
te00619,0.6081687190560412
te00624,0.30425598636030887
te00625,0.3546910360784424
te00629,0.20908946656182364
te00630,0.32797839055688666
te00632,0.47224108914263224
te00633,0.234417320751198
te00634,0.4724135098037285
te00636,0.33765722063567083
te00637,0.22551222509731833
te00640,0.3508829021004987
te00642,0.29970257896363395
te00643,0.5042786845000353
te00644,0.6136726338953443
te00645,0.4225633534107626
te00646,0.46902827769772354
te00647,0.48805408958413554
te00649,0.25976549003495947
te00650,0.30231361021271
te00655,0.298753284911249
te00657,0.5788575418282673
te00659,0.4974203232854533
te00660,0.3324903588467144
te00661,0.3513596008354227
te00662,0.28574918874819094
te00663,0.3441751482289402
te00665,0.22010769959699744
te00666,0.20984976331298597
te00667,0.45561110574562763
te00668,0.46336863656669575
te00669,0.6847866752274243
te00671,0.31024809968924993
te00672,0.23937575831737798
te00674,0.3760363410616188
te00675,0.7309197926923211
te00677,0.799733105969548
te00678,0.4329705941683589
te00681,0.3277164346313935
te00682,0.24967602673808764
te00683,0.32762927162755956
te00684,0.5197107837959762
te00686,0.5618174228761375
te00687,0.21283540293572126
te00690,0.42616874117405973
te00692,0.8022625801105917
te00693,0.35052296162045987
te00695,0.26365057159704114
te00696,0.30683608256166983
te00698,0.2526099985630158
te00699,0.5896557705240346
te00700,0.583247561557756
te00701,0.38699395060570546
te00703,0.7197943146808949
te00705,0.37418653647970596
te00707,0.678053537719437
te00708,0.36397865141500363
te00710,0.32391070016079104
te00712,0.7857835979903336
te00713,0.69274510703565
te00714,0.700481745322732
te00717,0.35931818792202325
te00719,0.4268184091480209
te00722,0.33963226655491546
te00725,0.23389296062087997
te00726,0.56500885018736
te00727,0.19988571067944794
te00728,0.29320066143115303
te00729,0.3232060600676378
te00730,0.5195170392670913
te00731,0.37722854737703637
te00732,0.3860629077590486
te00733,0.5902767589261135
te00736,0.32806692059827924
te00737,0.3484771116755178
te00738,0.30407489159854867
te00740,0.5415397650118191
te00741,0.31628035279388095
te00742,0.406596732729529
te00743,0.19879360121605497
